Site,Paper_ID,Latitude,Longitude,mean.lambda.drought,mean.lambda.recovery
Hauser Creek,14,32.65822,-116.5323,0,0
Kitchen Creek,15,32.75206,-116.4522,0,0
Sweetwater River,1,32.89913,-116.5865,0.430947124706439,3.46448641745798
Whitewater Canyon,17,33.99329,-116.6627,0,0
West Fork Mojave River,2,34.28425,-117.3754,0.7109379874198,1.04784421811355
South Fork Middle Fork Tule,58,36.13756,-118.5741,1.28149891230853,4.47028965056851
North Fork Middle Fork Tule,3,36.20081,-118.6509,1.06249038754335,1.422313912743
Redwood Creek,4,36.68952,-118.9096,0.707420294935745,6.76340842679183
Wawona,5,37.53822,-119.6514,0.872699268559547,1.56037364807942
Buck Meadows,27,37.77722,-120.0633,0.525904381570208,9.69498806099404
Carlon,28,37.81006,-119.8568,1.0328272919733,1.14723918983447
Rainbow Pool,29,37.81878,-120.0073,0.796388142415734,2.12545523957792
Oregon Creek,6,39.39704,-121.082,1.29679337990146,1.7584170156029
Little Jameson Creek,7,39.74298,-120.704,0.834500295850384,0.840678861231642
Deep Creek,8,41.66546,-123.1134,1.39539225357212,0.683371939613514
O'Neil Creek,9,41.80979,-123.1189,1.24704710278556,1.44489610112154
Rock Creek,11,43.37876,-122.9521,0.341379801725547,2.31692411911699
Canton Creek,57,43.4137,-122.7804,1.16723834505875,1.0925465752061
Coast Fork of Williamette,55,43.6517,-123.088,2.00418237037831,1.44598994855074
